dt,phase_1-0,phase_2-1,phase_3-2,phase_0-3
0.0,2.5747295412706457,-0.14135062563987655,-2.4370085155635524,0.003629599932783045
0.047,2.571758864228174,-0.18048310403648857,-2.5244174751265795,0.1331417149348938
0.049,2.68771244684097,-0.27359052363876807,-2.346934967704457,-0.06718695549774464
0.047,2.5479867579718696,-0.1652247715348227,-2.4440688795909673,0.06130689315392053
0.048,2.6477016096501145,-0.20504046290997863,-2.489554717727095,0.046893570986959246
0.047,2.6413012004655334,-0.20266096059587818,-2.5511838440222663,0.11254360415261096
0.049,2.582712864425172,-0.18225927461164226,-2.4776285433786773,0.07717495356514757
0.05,2.5236808902562196,-0.21403157350414714,-2.442801023201948,0.13315170644987567
0.048,2.562788815339334,-0.2981320158588869,-2.3260605747118306,0.06140377523138336
0.047,2.5091545554156145,-0.28228533545056067,-2.3320280076645172,0.10515878769946364
0.05,2.677011243454773,-0.390631648453088,-2.5542483757010688,0.2678687806993838
0.047,2.5419769366955727,-0.25033077379914875,-2.4890511736409677,0.19740501074454367
0.049,2.5962617245600366,-0.3849670153221879,-2.4208591417268845,0.2095644324890361
0.046,2.616769892665976,-0.4750200962522531,-2.506361412014599,0.36461161560087596
0.05,2.6755590561497113,-0.6429533412480184,-2.2950238153743285,0.26241810047263586
0.048,2.6855331001761202,-0.5794257415430469,-2.5843628139068855,0.47825545527381247
0.049,2.6978921980026445,-0.6824793792855015,-2.3709344341250347,0.355521615407892
0.045,2.7098068535798756,-0.7765114525828968,-2.49148912061447,0.558193719617491
0.048,2.642273622724762,-0.802242524039198,-2.5283231596131297,0.6882920609275659
0.049,2.6938855800897916,-0.8553551654551597,-2.4162485748695457,0.5777181602349135
0.046,2.6924430704891056,-0.9671358261771977,-2.385803166118085,0.6604959218061774
0.05,2.6668931940176415,-0.9523560454780723,-2.441704159372268,0.7271670108326987
0.046,2.7009256684079794,-1.1209431444285414,-2.346135061114819,0.7661525371353809
0.048,2.685069892352773,-1.2103445351543112,-2.329558318663291,0.8548329614648289
0.05,2.7238832139511553,-1.3110098117452025,-2.3577696437725493,0.9448962415665965
0.048,2.7339130192360015,-1.444283384081761,-2.284311668387151,0.9946820332329106
0.049,2.8475617779270936,-1.513550957090328,-2.4203530455995748,1.086342224762809
0.048,2.7521344138687107,-1.6709628925477595,-2.1812888296447652,1.1001173083238145
0.048,2.6714318034987734,-1.5112679137604552,-2.258125692187789,1.0979618024494708
0.047,2.769019717596742,-1.66423723661091,-2.2908770826174525,1.18609460163162
0.046,2.777222147588323,-1.7562086522560294,-2.193620963615334,1.17260746828304
0.049,2.755985789548331,-1.7743672431011746,-2.3032887030487355,1.321670156601579
0.049,2.7628554580788487,-1.7984520686419516,-2.2672081603798153,1.3028047709429185
0.047,2.793527840812229,-1.9383383002709986,-2.2335017439594,1.3783122034181696
0.047,2.7085100661892754,-1.8028347657596469,-2.2211502957107045,1.3154749952810763
0.051,2.7715939471853925,-1.936523669274267,-2.2272914669583073,1.3922211890471818
0.048,2.7828318475298546,-1.8845410090602506,-2.2070500944828053,1.3087592560132013
0.047,2.834347836105263,-1.9201005287041426,-2.2672919370229465,1.3530446296218264
0.047,2.727124921412702,-1.8515677242501545,-2.206282996328312,1.3307257991657644
0.047,2.715359883489837,-1.890597162753489,-2.269164496967833,1.444401776231485
0.05,2.7823539945067806,-2.0374235202514033,-2.269597799541639,1.5246673252862617
0.05,2.654703350707003,-1.9269918197316258,-2.2627174618457233,1.5350059308703465
0.045,2.702085068837722,-1.9095895844623225,-2.3448966397113264,1.5524011553359274
0.047,2.569901482457771,-2.0777512571812675,-2.157561775597405,1.6654115503209015
0.05,2.5869447597346196,-2.0484545267984267,-2.1496851199104308,1.6111948869742378
0.052,2.6872069672058814,-2.163358740777873,-2.057880366519631,1.5340321400916226
0.074,2.6326913266027443,-1.925904858112145,-2.2219874225143252,1.515200954023726
0.062,2.6915307480028026,-2.0223273282988914,-2.239065314612277,1.5698618949083665
