[2025-09-02 17:04:28.282] [info] topic=vd/scatter, payload={"xy": [12.145489708305186, 4.368115739063131], "xz": [12.145489708305186, 1.9955686858797512]}
[2025-09-02 17:04:28.284] [info] topic=vd/scatter, payload={"xy": [12.075009501634351, 4.457520222041372], "xz": [12.075009501634351, 1.9948600063731428]}
[2025-09-02 17:04:28.284] [info] topic=vd/scatter, payload={"xy": [12.035799597471906, 4.517584687958678], "xz": [12.035799597471906, 1.9952471805720868]}
[2025-09-02 17:04:28.284] [info] topic=vd/scatter, payload={"xy": [12.003906825975426, 4.650970686968949], "xz": [12.003906825975426, 1.9960232595569847]}
[2025-09-02 17:04:28.284] [info] topic=vd/scatter, payload={"xy": [11.985996160561026, 4.709475240290243], "xz": [11.985996160561026, 1.996961318076764]}
[2025-09-02 17:04:28.285] [info] topic=vd/scatter, payload={"xy": [12.063762487504155, 4.580165159481712], "xz": [12.063762487504155, 1.9958506130973903]}
[2025-09-02 17:04:28.292] [info] topic=vd/scatter, payload={"xy": [12.112022049360657, 4.491993651675197], "xz": [12.112022049360657, 1.9956171327883272]}
[2025-09-02 17:04:28.292] [info] topic=vd/scatter, payload={"xy": [12.152623152406377, 4.435958402869888], "xz": [12.152623152406377, 1.9967037664179568]}
[2025-09-02 17:04:28.292] [info] topic=vd/scatter, payload={"xy": [12.20082661251334, 4.329398480584457], "xz": [12.20082661251334, 1.9965703949735953]}
[2025-09-02 17:04:28.293] [info] topic=vd/scatter, payload={"xy": [12.271787718004477, 4.158898148008496], "xz": [12.271787718004477, 1.9948531869866941]}
[2025-09-02 17:04:28.293] [info] topic=vd/scatter, payload={"xy": [12.330588093709197, 4.01649607832095], "xz": [12.330588093709197, 1.9938606730537158]}
[2025-09-02 17:04:28.293] [info] topic=vd/scatter, payload={"xy": [12.379798304582343, 3.9130489170360625], "xz": [12.379798304582343, 1.9937312294906382]}
[2025-09-02 17:04:28.293] [info] topic=vd/scatter, payload={"xy": [12.404782794559262, 3.828683520198333], "xz": [12.404782794559262, 1.9935032036422364]}
[2025-09-02 17:04:28.293] [info] topic=vd/scatter, payload={"xy": [12.445503402877822, 3.7162488968424685], "xz": [12.445503402877822, 1.9936928972020211]}
[2025-09-02 17:04:28.294] [info] topic=vd/scatter, payload={"xy": [12.44929812745663, 3.7129778128536817], "xz": [12.44929812745663, 1.9938994481255168]}
[2025-09-02 17:04:28.294] [info] topic=vd/scatter, payload={"xy": [12.505166806034202, 3.5784488880249126], "xz": [12.505166806034202, 1.993589034282526]}
[2025-09-02 17:04:28.294] [info] topic=vd/scatter, payload={"xy": [12.546375720893868, 3.484335953499903], "xz": [12.546375720893868, 1.9938079604493606]}
[2025-09-02 17:04:28.294] [info] topic=vd/scatter, payload={"xy": [12.59409757192645, 3.394437290240169], "xz": [12.59409757192645, 1.993653419825287]}
[2025-09-02 17:04:28.294] [info] topic=vd/scatter, payload={"xy": [12.625181186207888, 3.322415024285834], "xz": [12.625181186207888, 1.9935444396550681]}
[2025-09-02 17:04:28.300] [info] topic=vd/scatter, payload={"xy": [12.63766799378394, 3.321367778993679], "xz": [12.63766799378394, 1.9940713069830187]}
[2025-09-02 17:04:28.300] [info] topic=vd/scatter, payload={"xy": [12.63681302390352, 3.387218972606051], "xz": [12.63681302390352, 1.994726097047635]}
