x,y
-0.099689,-2.175899
-0.101188,-2.170100
-0.097850,-2.168197
-0.096250,-2.167542
-0.095151,-2.154364
-0.096355,-2.130315
-0.096205,-2.127438
-0.099997,-2.124181
-0.103142,-2.105437
-0.107479,-2.088436
-0.123024,-2.076007
-0.129130,-2.064839
-0.141046,-2.052344
-0.162469,-2.043059
-0.172101,-2.037583
-0.191067,-2.038752
-0.205911,-2.035844
-0.230785,-2.035356
-0.249572,-2.037585
-0.277365,-2.035847
-0.310759,-2.039174
-0.345341,-2.033934
-0.378041,-2.037590
-0.402266,-2.040843
-0.429444,-2.046522
-0.457365,-2.057071
-0.486278,-2.068987
-0.514272,-2.075105
-0.543750,-2.076456
-0.575343,-2.076908
-0.605679,-2.083811
-0.645461,-2.087513
-0.684613,-2.090836
-0.718030,-2.094345
-0.754333,-2.097588
-0.788975,-2.103085
-0.822356,-2.108342
-0.857152,-2.106601
-0.913580,-2.098527
-0.947122,-2.094243
-0.979469,-2.089849
-1.015160,-2.084758
-1.045671,-2.083819
-1.091769,-2.078792
-1.155754,-2.072217
-1.196518,-2.073883
-1.251642,-2.075113
-1.312962,-2.066928
-1.342583,-2.063236
-1.373716,-2.059203
-1.416407,-2.056231
-1.450267,-2.054379
-1.495772,-2.050656
-1.536683,-2.045650
-1.572347,-2.043359
-1.611755,-2.037758
-1.648246,-2.034337
-1.678946,-2.028942
-1.717166,-2.021239
-1.753661,-2.017035
-1.780653,-2.012048
-1.817353,-2.000757
-1.848096,-1.993515
-1.877546,-1.985308
-1.905483,-1.977693
-1.936093,-1.968762
-1.958095,-1.966524
-1.978842,-1.957909
-2.003558,-1.949842
-2.030314,-1.942616
-2.061966,-1.928304
-2.084005,-1.927702
-2.114996,-1.919632
-2.143670,-1.914348
-2.176767,-1.906105
-2.204133,-1.900534
-2.229696,-1.896702
-2.258476,-1.886606
-2.280131,-1.881203
-2.307818,-1.871862
-2.332366,-1.862478
-2.355306,-1.846488
-2.368537,-1.835588
-2.385570,-1.819796
-2.402217,-1.805651
-2.417905,-1.792996
-2.439538,-1.778271
-2.448421,-1.770083
-2.461071,-1.760806
-2.469535,-1.755132
-2.483194,-1.740180
-2.489835,-1.731966
-2.499794,-1.729944
-2.512019,-1.722780
-2.517906,-1.717118
-2.532207,-1.710637
-2.546042,-1.692546
-2.549789,-1.681818
-2.554160,-1.668193
-2.563580,-1.642371
-2.567071,-1.629049
-2.570551,-1.619059
-2.551117,-1.607551
-2.538545,-1.590118
-2.528979,-1.577275
-2.513432,-1.570472
-2.512165,-1.558237
-2.513514,-1.540920
-2.513095,-1.522409
-2.504929,-1.511051
-2.503172,-1.491494
-2.505002,-1.471193
-2.506466,-1.458583
-2.506369,-1.450967
-2.509543,-1.436677
-2.511261,-1.428481
-2.507289,-1.419882
-2.514257,-1.391292
-2.512102,-1.385926
-2.514992,-1.365218
-2.513567,-1.352181
-2.517637,-1.328608
-2.519988,-1.311594
-2.521819,-1.292049
-2.519344,-1.280647
-2.523612,-1.252674
-2.527306,-1.227781
-2.531528,-1.203100
-2.521401,-1.193041
-2.515507,-1.177849
-2.511812,-1.149616
-2.508869,-1.126766
-2.501199,-1.105183
-2.491640,-1.090546
-2.480681,-1.069469
-2.470783,-1.045279
-2.460762,-1.030491
-2.453341,-1.011673
-2.442351,-0.990219
-2.433007,-0.970752
-2.427691,-0.946549
-2.420530,-0.922601
-2.410300,-0.904547
-2.398412,-0.884461
-2.386558,-0.867521
-2.370877,-0.851234
-2.356674,-0.826921
-2.338382,-0.804735
-2.320101,-0.781457
-2.299028,-0.765826
-2.283737,-0.738857
-2.274696,-0.709952
-2.262168,-0.688090
-2.257036,-0.655780
-2.247565,-0.629980
-2.240015,-0.610072
-2.231987,-0.586166
-2.230269,-0.554669
-2.229097,-0.522726
-2.224678,-0.496180
-2.226213,-0.457232
-2.227102,-0.419619
-2.229492,-0.383632
-2.232752,-0.348109
-2.239933,-0.307390
-2.239181,-0.251859
-2.248414,-0.204026
-2.249249,-0.164225
-2.251259,-0.123895
-2.249718,-0.072464
-2.246977,-0.022843
-2.242713,0.019182
-2.234650,0.061617
-2.234744,0.106448
-2.235330,0.141160
-2.234738,0.166558
-2.233641,0.188793
-2.231160,0.207014
-2.226663,0.234277
-2.223058,0.258674
-2.220612,0.279531
-2.216041,0.302233
-2.214730,0.324012
-2.214232,0.343111
-2.213246,0.361144
-2.212670,0.382412
-2.211316,0.402879
-2.209751,0.427185
-2.208084,0.463658
-2.208090,0.497004
-2.211307,0.531184
-2.213650,0.569409
-2.212391,0.624670
-2.216369,0.665381
-2.218297,0.708415
-2.219088,0.744994
-2.217181,0.798049
-2.214734,0.839694
-2.212942,0.877565
-2.211795,0.920237
-2.217822,0.950283
-2.219669,0.989570
-2.219592,1.027433
-2.216331,1.063829
-2.213945,1.094234
-2.215708,1.122782
-2.220424,1.153280
-2.217477,1.183988
-2.215437,1.217812
-2.221026,1.242127
-2.227781,1.275833
-2.238244,1.300015
-2.250010,1.331831
-2.255472,1.359615
-2.265991,1.375711
-2.267501,1.402376
-2.267036,1.423081
-2.267678,1.445715
-2.274603,1.458537
-2.285138,1.462095
-2.285294,1.484761
-2.290136,1.514334
-2.300915,1.526399
-2.300641,1.550200
-2.310169,1.574019
-2.314608,1.602252
-2.319469,1.630674
-2.328427,1.647123
-2.345904,1.657015
-2.360635,1.665418
-2.363148,1.681936
-2.376967,1.685407
-2.387433,1.703320
-2.398699,1.723110
-2.403325,1.738454
-2.406940,1.763648
-2.416311,1.789926
-2.427929,1.806232
-2.436734,1.825005
-2.439632,1.849214
-2.449663,1.871169
-2.457940,1.884538
-2.460650,1.900514
-2.464872,1.911245
-2.463853,1.923164
-2.462552,1.938020
-2.466981,1.951845
-2.459235,1.964232
-2.459495,1.980659
-2.467228,1.988145
-2.464002,2.004279
-2.459873,2.017684
-2.453893,2.031521
-2.450018,2.038514
-2.445061,2.042486
-2.448095,2.034979
-2.446775,2.029499
-2.441657,2.025757
-2.431623,2.027722
-2.423570,2.024093
-2.415298,2.018657
-2.401613,2.017277
-2.397473,2.021052
-2.382628,2.016735
-2.365768,2.009978
-2.343076,2.005237
-2.321804,2.000828
-2.300909,1.992150
-2.279914,1.983692
-2.253346,1.982753
-2.234352,1.974433
